0 , 7 , 0.3 | 0 , 6 , 0.4 | 0.235114 , 6 , 0.323607
0 , 7 , 0.3 | 0.235114 , 6 , 0.323607 | 0.176336 , 7 , 0.242705
0.176336 , 7 , 0.242705 | 0.235114 , 6 , 0.323607 | 0.380423 , 6 , 0.123607
0.176336 , 7 , 0.242705 | 0.380423 , 6 , 0.123607 | 0.285317 , 7 , 0.0927051
0.285317 , 7 , 0.0927051 | 0.380423 , 6 , 0.123607 | 0.380423 , 6 , -0.123607
0.285317 , 7 , 0.0927051 | 0.380423 , 6 , -0.123607 | 0.285317 , 7 , -0.0927051
0.285317 , 7 , -0.0927051 | 0.380423 , 6 , -0.123607 | 0.235114 , 6 , -0.323607
0.285317 , 7 , -0.0927051 | 0.235114 , 6 , -0.323607 | 0.176336 , 7 , -0.242705
0.176336 , 7 , -0.242705 | 0.235114 , 6 , -0.323607 | -3.49691e-008 , 6 , -0.4
0.176336 , 7 , -0.242705 | -3.49691e-008 , 6 , -0.4 | -2.62268e-008 , 7 , -0.3
-2.62268e-008 , 7 , -0.3 | -3.49691e-008 , 6 , -0.4 | -0.235114 , 6 , -0.323607
-2.62268e-008 , 7 , -0.3 | -0.235114 , 6 , -0.323607 | -0.176336 , 7 , -0.242705
-0.176336 , 7 , -0.242705 | -0.235114 , 6 , -0.323607 | -0.380423 , 6 , -0.123607
-0.176336 , 7 , -0.242705 | -0.380423 , 6 , -0.123607 | -0.285317 , 7 , -0.0927051
-0.285317 , 7 , -0.0927051 | -0.380423 , 6 , -0.123607 | -0.380423 , 6 , 0.123607
-0.285317 , 7 , -0.0927051 | -0.380423 , 6 , 0.123607 | -0.285317 , 7 , 0.0927051
-0.285317 , 7 , 0.0927051 | -0.380423 , 6 , 0.123607 | -0.235114 , 6 , 0.323607
-0.285317 , 7 , 0.0927051 | -0.235114 , 6 , 0.323607 | -0.176335 , 7 , 0.242705
-0.176335 , 7 , 0.242705 | -0.235114 , 6 , 0.323607 | 6.99382e-008 , 6 , 0.4
-0.176335 , 7 , 0.242705 | 6.99382e-008 , 6 , 0.4 | 5.24537e-008 , 7 , 0.3
0 , 6 , 0.4 | 0 , 5 , 0.5 | 0.293893 , 5 , 0.404509
0 , 6 , 0.4 | 0.293893 , 5 , 0.404509 | 0.235114 , 6 , 0.323607
0.235114 , 6 , 0.323607 | 0.293893 , 5 , 0.404509 | 0.475528 , 5 , 0.154508
0.235114 , 6 , 0.323607 | 0.475528 , 5 , 0.154508 | 0.380423 , 6 , 0.123607
0.380423 , 6 , 0.123607 | 0.475528 , 5 , 0.154508 | 0.475528 , 5 , -0.154509
0.380423 , 6 , 0.123607 | 0.475528 , 5 , -0.154509 | 0.380423 , 6 , -0.123607
0.380423 , 6 , -0.123607 | 0.475528 , 5 , -0.154509 | 0.293893 , 5 , -0.404509
0.380423 , 6 , -0.123607 | 0.293893 , 5 , -0.404509 | 0.235114 , 6 , -0.323607
0.235114 , 6 , -0.323607 | 0.293893 , 5 , -0.404509 | -4.37114e-008 , 5 , -0.5
0.235114 , 6 , -0.323607 | -4.37114e-008 , 5 , -0.5 | -3.49691e-008 , 6 , -0.4
-3.49691e-008 , 6 , -0.4 | -4.37114e-008 , 5 , -0.5 | -0.293893 , 5 , -0.404508
-3.49691e-008 , 6 , -0.4 | -0.293893 , 5 , -0.404508 | -0.235114 , 6 , -0.323607
-0.235114 , 6 , -0.323607 | -0.293893 , 5 , -0.404508 | -0.475528 , 5 , -0.154509
-0.235114 , 6 , -0.323607 | -0.475528 , 5 , -0.154509 | -0.380423 , 6 , -0.123607
-0.380423 , 6 , -0.123607 | -0.475528 , 5 , -0.154509 | -0.475528 , 5 , 0.154509
-0.380423 , 6 , -0.123607 | -0.475528 , 5 , 0.154509 | -0.380423 , 6 , 0.123607
-0.380423 , 6 , 0.123607 | -0.475528 , 5 , 0.154509 | -0.293892 , 5 , 0.404509
-0.380423 , 6 , 0.123607 | -0.293892 , 5 , 0.404509 | -0.235114 , 6 , 0.323607
-0.235114 , 6 , 0.323607 | -0.293892 , 5 , 0.404509 | 8.74228e-008 , 5 , 0.5
-0.235114 , 6 , 0.323607 | 8.74228e-008 , 5 , 0.5 | 6.99382e-008 , 6 , 0.4
0 , 5 , 0.5 | 0 , 4 , 0.6 | 0.352671 , 4 , 0.48541
0 , 5 , 0.5 | 0.352671 , 4 , 0.48541 | 0.293893 , 5 , 0.404509
0.293893 , 5 , 0.404509 | 0.352671 , 4 , 0.48541 | 0.570634 , 4 , 0.18541
0.293893 , 5 , 0.404509 | 0.570634 , 4 , 0.18541 | 0.475528 , 5 , 0.154508
0.475528 , 5 , 0.154508 | 0.570634 , 4 , 0.18541 | 0.570634 , 4 , -0.18541
0.475528 , 5 , 0.154508 | 0.570634 , 4 , -0.18541 | 0.475528 , 5 , -0.154509
0.475528 , 5 , -0.154509 | 0.570634 , 4 , -0.18541 | 0.352671 , 4 , -0.48541
0.475528 , 5 , -0.154509 | 0.352671 , 4 , -0.48541 | 0.293893 , 5 , -0.404509
0.293893 , 5 , -0.404509 | 0.352671 , 4 , -0.48541 | -5.24537e-008 , 4 , -0.6
0.293893 , 5 , -0.404509 | -5.24537e-008 , 4 , -0.6 | -4.37114e-008 , 5 , -0.5
-4.37114e-008 , 5 , -0.5 | -5.24537e-008 , 4 , -0.6 | -0.352671 , 4 , -0.48541
-4.37114e-008 , 5 , -0.5 | -0.352671 , 4 , -0.48541 | -0.293893 , 5 , -0.404508
-0.293893 , 5 , -0.404508 | -0.352671 , 4 , -0.48541 | -0.570634 , 4 , -0.18541
-0.293893 , 5 , -0.404508 | -0.570634 , 4 , -0.18541 | -0.475528 , 5 , -0.154509
-0.475528 , 5 , -0.154509 | -0.570634 , 4 , -0.18541 | -0.570634 , 4 , 0.18541
-0.475528 , 5 , -0.154509 | -0.570634 , 4 , 0.18541 | -0.475528 , 5 , 0.154509
-0.475528 , 5 , 0.154509 | -0.570634 , 4 , 0.18541 | -0.352671 , 4 , 0.48541
-0.475528 , 5 , 0.154509 | -0.352671 , 4 , 0.48541 | -0.293892 , 5 , 0.404509
-0.293892 , 5 , 0.404509 | -0.352671 , 4 , 0.48541 | 1.04907e-007 , 4 , 0.6
-0.293892 , 5 , 0.404509 | 1.04907e-007 , 4 , 0.6 | 8.74228e-008 , 5 , 0.5
0 , 4 , 0.6 | 0 , 3 , 0.7 | 0.41145 , 3 , 0.566312
0 , 4 , 0.6 | 0.41145 , 3 , 0.566312 | 0.352671 , 4 , 0.48541
0.352671 , 4 , 0.48541 | 0.41145 , 3 , 0.566312 | 0.66574 , 3 , 0.216312
0.352671 , 4 , 0.48541 | 0.66574 , 3 , 0.216312 | 0.570634 , 4 , 0.18541
0.570634 , 4 , 0.18541 | 0.66574 , 3 , 0.216312 | 0.66574 , 3 , -0.216312
0.570634 , 4 , 0.18541 | 0.66574 , 3 , -0.216312 | 0.570634 , 4 , -0.18541
0.570634 , 4 , -0.18541 | 0.66574 , 3 , -0.216312 | 0.41145 , 3 , -0.566312
0.570634 , 4 , -0.18541 | 0.41145 , 3 , -0.566312 | 0.352671 , 4 , -0.48541
0.352671 , 4 , -0.48541 | 0.41145 , 3 , -0.566312 | -6.11959e-008 , 3 , -0.7
0.352671 , 4 , -0.48541 | -6.11959e-008 , 3 , -0.7 | -5.24537e-008 , 4 , -0.6
